country,group
Mexico,A
South Korea,A
Czechia,A
South Africa,A
Switzerland,B
Canada,B
Bosnia and Herzegovina,B
Qatar,B
Brazil,C
Morocco,C
Scotland,C
Haiti,C
United States,D
Australia,D
Paraguay,D
Turkey,D
Germany,E
Ivory Coast,E
Ecuador,E
Curacao,E
Netherlands,F
Japan,F
Sweden,F
Tunisia,F
Egypt,G
Iran,G
Belgium,G
New Zealand,G
Spain,H
Uruguay,H
Cabo Verde,H
Saudi Arabia,H
France,I
Norway,I
Senegal,I
Iraq,I
Argentina,J
Austria,J
Algeria,J
Jordan,J
Colombia,K
Portugal,K
DR Congo,K
Uzbekistan,K
England,L
Ghana,L
Croatia,L
Panama,L
