Matchday, Date     , Group, Home_Team             , Home_Score, Away_Score, Away_Team
       1, 11-Jun-26, A    , Mexico                ,          2,          0, South Africa
       1, 11-Jun-26, A    , South Korea           ,          2,          1, Czechia
       1, 12-Jun-26, B    , Canada                ,          1,          1, Bosnia and Herzegovina
       1, 12-Jun-26, D    , United States         ,          4,          1, Paraguay
       1, 13-Jun-26, B    , Qatar                 ,          1,          1, Switzerland
       1, 13-Jun-26, C    , Brazil                ,          1,          1, Morocco
       1, 13-Jun-26, C    , Haiti                 ,          0,          1, Scotland
       1, 13-Jun-26, D    , Australia             ,          2,          0, Turkey
       1, 14-Jun-26, E    , Germany               ,          7,          1, Curacao
       1, 14-Jun-26, F    , Netherlands           ,          2,          2, Japan
       1, 14-Jun-26, E    , Ivory Coast           ,          1,          0, Ecuador
       1, 14-Jun-26, F    , Sweden                ,          5,          1, Tunisia
       1, 15-Jun-26, H    , Spain                 ,          0,          0, Cabo Verde
       1, 15-Jun-26, G    , Belgium               ,          1,          1, Egypt
       1, 15-Jun-26, H    , Saudi Arabia          ,          1,          1, Uruguay
       1, 15-Jun-26, G    , Iran                  ,          2,          2, New Zealand
       1, 16-Jun-26, I    , France                ,          3,          1, Senegal
       1, 16-Jun-26, I    , Iraq                  ,          1,          4, Norway
       1, 16-Jun-26, J    , Argentina             ,          3,          0, Algeria
       1, 16-Jun-26, J    , Austria               ,          3,          1, Jordan
       1, 17-Jun-26, K    , Portugal              ,          1,          1, DR Congo
       1, 17-Jun-26, L    , England               ,          4,          2, Croatia
       1, 17-Jun-26, L    , Ghana                 ,          1,          0, Panama
       1, 17-Jun-26, K    , Uzbekistan            ,          1,          3, Colombia
       2, 18-Jun-26, A    , Czechia               ,          1,          1, South Africa
       2, 18-Jun-26, B    , Switzerland           ,          4,          1, Bosnia and Herzegovina
       2, 18-Jun-26, B    , Canada                ,          6,          0, Qatar
       2, 18-Jun-26, A    , Mexico                ,          1,          0, South Korea
       2, 19-Jun-26, D    , United States         ,          2,          0, Australia
       2, 19-Jun-26, C    , Scotland              ,          0,          1, Morocco
       2, 19-Jun-26, C    , Brazil                ,          3,          0, Haiti
       2, 19-Jun-26, D    , Turkey                ,          0,          1, Paraguay
       2, 20-Jun-26, F    , Netherlands           ,          5,          1, Sweden
       2, 20-Jun-26, E    , Germany               ,          2,          1, Ivory Coast
       2, 20-Jun-26, E    , Ecuador               ,          0,          0, Curacao
       2, 20-Jun-26, F    , Tunisia               ,          0,          4, Japan
       2, 21-Jun-26, H    , Spain                 ,          4,          0, Saudi Arabia
       2, 21-Jun-26, G    , Belgium               ,          0,          0, Iran
       2, 21-Jun-26, H    , Uruguay               ,          2,          2, Cabo Verde
       2, 21-Jun-26, G    , New Zealand           ,          1,          3, Egypt
       2, 22-Jun-26, J    , Argentina             ,          2,          0, Austria
       2, 22-Jun-26, I    , France                ,          3,          0, Iraq
       2, 22-Jun-26, I    , Norway                ,          3,          2, Senegal
       2, 22-Jun-26, J    , Jordan                ,          1,          2, Algeria
       2, 23-Jun-26, K    , Portugal              ,          5,          0, Uzbekistan
       2, 23-Jun-26, L    , England               ,          0,          0, Ghana
       2, 23-Jun-26, L    , Panama                ,          0,          1, Croatia
       2, 23-Jun-26, K    , Colombia              ,          1,          0, DR Congo
       3, 24-Jun-26, B    , Switzerland           ,          2,          1, Canada
       3, 24-Jun-26, B    , Bosnia and Herzegovina,          3,          1, Qatar
       3, 24-Jun-26, C    , Scotland              ,          0,          3, Brazil
       3, 24-Jun-26, C    , Morocco               ,          4,          2, Haiti
       3, 24-Jun-26, A    , South Africa          ,          1,          0, South Korea
       3, 24-Jun-26, A    , Czechia               ,          0,          3, Mexico
       3, 25-Jun-26, E    , Curacao               ,          0,          2, Ivory Coast
       3, 25-Jun-26, E    , Ecuador               ,          2,          1, Germany
       3, 25-Jun-26, F    , Japan                 ,          1,          1, Sweden
       3, 25-Jun-26, F    , Tunisia               ,          1,          3, Netherlands
       3, 25-Jun-26, D    , Turkey                ,          3,          2, United States
       3, 25-Jun-26, D    , Paraguay              ,          0,          0, Australia
       3, 26-Jun-26, I    , Norway                ,          1,          4, France
       3, 26-Jun-26, I    , Senegal               ,          5,          0, Iraq
       3, 26-Jun-26, H    , Cabo Verde            ,          0,          0, Saudi Arabia
       3, 26-Jun-26, H    , Uruguay               ,          0,          1, Spain
       3, 26-Jun-26, G    , Egypt                 ,          1,          1, Iran
       3, 26-Jun-26, G    , New Zealand           ,          1,          4, Belgium
       3, 27-Jun-26, L    , Panama                ,          0,          2, England
       3, 27-Jun-26, L    , Croatia               ,          2,          1, Ghana
       3, 27-Jun-26, K    , Colombia              ,          0,          0, Portugal
       3, 27-Jun-26, K    , DR Congo              ,          2,          1, Uzbekistan
       3, 27-Jun-26, J    , Algeria               ,          3,          3, Austria
       3, 27-Jun-26, J    , Jordan                ,          1,          3, Argentina
       4, 28-Jun-26,      , Canada                ,          1,          0, South Africa
       4, 29-Jun-26,      , Paraguay              ,          2,          1, Germany
       4, 29-Jun-26,      , Morocco               ,          2,          1, Netherlands
       4, 29-Jun-26,      , Japan                 ,          1,          2, Brazil
       4, 30-Jun-26,      , Sweden                ,          0,          3, France
       4, 30-Jun-26,      , Norway                ,          2,          1, Ivory Coast
       4, 30-Jun-26,      , Ecuador               ,          0,          2, Mexico
       4, 01-Jul-26,      , England               ,          2,          1, DR Congo
       4, 01-Jul-26,      , United States         ,          2,          0, Bosnia and Herzegovina
       4, 01-Jul-26,      , Belgium               ,          3,          2, Senegal
       4, 02-Jul-26,      , Portugal              ,          2,          1, Croatia
       4, 02-Jul-26,      , Spain                 ,          3,          0, Austria
       4, 02-Jul-26,      , Switzerland           ,          2,          0, Algeria
       4, 03-Jul-26,      , Argentina             ,          3,          2, Cabo Verde
       4, 03-Jul-26,      , Colombia              ,          1,          0, Ghana
       4, 03-Jul-26,      , Australia             ,          1,          2, Egypt
        
