country,rating
Spain,1000
Argentina,1000
France,1000
England,1000
Brazil,1000
Portugal,1000
Colombia,1000
Netherlands,1000
Ecuador,1000
Croatia,1000
Germany,1000
Norway,1000
Japan,1000
Turkey,1000
Uruguay,1000
Switzerland,1000
Senegal,1000
Belgium,1000
Mexico,1000
Paraguay,1000
Austria,1000
Morocco,1000
Canada,1000
Australia,1000
Scotland,1000
Iran,1000
South Korea,1000
Algeria,1000
Panama,1000
Uzbekistan,1000
Czechia,1000
United States,1000
Sweden,1000
Jordan,1000
Egypt,1000
Ivory Coast,1000
DR Congo,1000
Tunisia,1000
Iraq,1000
Bosnia and Herzegovina,1000
New Zealand,1000
Saudi Arabia,1000
Cabo Verde,1000
Haiti,1000
South Africa,1000
Ghana,1000
Curacao,1000
Qatar,1000
